#OTU ID	GF1cN	GF1cM	GF1sN	GF1sM	GF2cN	GF2cM	GF2sN	GF2sM	GF3cN	GF3cM	GF3sN	SG2cM	LG1cN	LG1cM	LG1sN	LG1sM	LG2cN	LG2cM	LG2sN	LG2sM	LG3cN	LG3cM	LG3sN	LG3sM	SG1cN	SG1cM	SG1sN	SG1sM	SG2cN	GF3sM	SG2sN	SG2sM	SG3cN	SG3cM	SG3sN	SG3sM	T1cN	T1cM	T1sN	T1sM	T2cN	T2cM	T2sN	T2sM	T3cN	T3cM	T3sN	T3sM
OTU_899	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_679	2	0	3	0	8	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_50	1	0	0	0	8	0	0	7	68	73	0	0	168	29	31	0	132	16	0	0	33	54	3	56	0	24	0	0	0	140	0	0	513	49	26	0	1	0	0	0	0	0	0	0	9	0	0	0
OTU_300	2	0	0	0	1	0	0	2	0	0	0	0	45	0	2	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_426	1	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_273	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	1	7	15	0	2	0	1	0	0	0
OTU_120	1	73	5	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	22	0	16	0	15	0	0	0	0	17	0	0	0	0	52	0	0	0	3	0	13	0	14	22	3	0	0	0
OTU_46	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	41	30	0	443	0	56	0	34	66	9	9
OTU_578	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_196	2	0	0	0	50	51	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_189	2	0	0	0	0	31	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	86	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_117	66	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_866	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_54	3	0	0	0	0	0	0	5	0	0	0	1	19	132	11	311	0	19	0	0	0	70	74	33	37	12	0	0	18	10	0	0	82	4	13	0	0	0	0	0	0	0	0	0	0	0	3	0
OTU_644	7	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0
OTU_354	1	0	10	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_208	2	0	0	0	8	0	0	0	0	0	0	0	12	0	10	0	0	4	0	0	20	0	0	0	3	7	0	41	0	8	0	0	0	2	1	0	0	0	0	0	0	4	0	0	0	4	0	0
